GameId,GameDate,NeutralSite,AwayTeam,HomeTeam,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,3FGM,3FGA,FTA,FTM,Fouls
143,3/14/2019 12:30,1,North Carolina State Wolfpack,Virginia Cavaliers,Virginia Cavaliers,1,76,18,7,7,1,29,5,24,48,25,10,21,22,16,19
144,3/14/2019 14:30,1,Virginia Tech Hokies,Florida State Seminoles,Florida State Seminoles,1,65,14,13,5,3,38,8,30,57,22,12,31,11,9,17
144,3/14/2019 14:30,1,Virginia Tech Hokies,Florida State Seminoles,Virginia Tech Hokies,0,63,11,9,7,3,28,6,22,59,26,4,19,13,7,12
145,3/14/2019 19:00,1,Louisville Cardinals,North Carolina Tar Heels,Louisville Cardinals,0,70,18,11,2,2,33,5,28,66,27,11,36,8,5,20
145,3/14/2019 19:00,1,Louisville Cardinals,North Carolina Tar Heels,North Carolina Tar Heels,1,83,16,9,5,4,37,7,30,65,30,7,20,21,16,17
146,3/14/2019 21:00,1,Syracuse Orange,Duke Blue Devils,Duke Blue Devils,1,84,16,18,14,4,35,10,25,54,29,7,23,28,19,17
146,3/14/2019 21:00,1,Syracuse Orange,Duke Blue Devils,Syracuse Orange,0,72,7,17,8,3,27,9,18,52,25,9,21,22,13,22
147,3/15/2019 19:00,1,Florida State Seminoles,Virginia Cavaliers,Florida State Seminoles,0,69,10,12,3,3,33,9,24,46,26,6,16,15,11,16
147,3/15/2019 19:00,1,Florida State Seminoles,Virginia Cavaliers,Virginia Cavaliers,1,59,8,7,5,2,18,6,12,53,22,5,24,13,10,17
148,3/15/2019 21:00,1,Duke Blue Devils,North Carolina Tar Heels,Duke Blue Devils,0,74,15,12,6,6,34,9,25,65,31,5,20,13,7,16
148,3/15/2019 21:00,1,Duke Blue Devils,North Carolina Tar Heels,North Carolina Tar Heels,1,73,13,8,5,0,38,15,23,73,29,4,26,15,11,15
149,3/16/2019 20:30,1,Florida State Seminoles,Duke Blue Devils,Duke Blue Devils,1,73,11,12,8,6,32,6,26,55,27,2,14,21,17,17
149,3/16/2019 20:30,1,Florida State Seminoles,Duke Blue Devils,Florida State Seminoles,0,63,8,12,5,5,30,12,18,63,20,8,20,16,15,16
