GameId,GameDate,NeutralSite,AwayTeam,HomeTeam,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,3FGM,3FGA,FTA,FTM,Fouls
54,1/29/2019 19:00,0,North Carolina Tar Heels,Georgia Tech Yellow Jackets,North Carolina Tar Heels,0,77,21,15,10,2,37,5,32,61,29,13,27,11,6,13
55,1/29/2019 21:00,0,Pittsburgh Panthers,Clemson Tigers,Clemson Tigers,1,82,17,14,4,7,29,5,24,47,26,14,27,21,16,19
55,1/29/2019 21:00,0,Pittsburgh Panthers,Clemson Tigers,Pittsburgh Panthers,0,69,2,12,7,1,23,8,15,53,24,8,22,21,13,21
56,1/30/2019 19:00,0,Virginia Tech Hokies,Miami (FL) Hurricanes,Miami (FL) Hurricanes,1,70,14,16,11,1,22,4,18,56,23,12,33,14,12,12
56,1/30/2019 19:00,0,Virginia Tech Hokies,Miami (FL) Hurricanes,Virginia Tech Hokies,0,82,13,15,11,3,26,2,24,51,30,9,19,15,13,14
57,1/30/2019 20:00,0,Syracuse Orange,Boston College Eagles,Boston College Eagles,1,71,13,11,5,0,23,6,17,45,21,9,22,23,20,19
57,1/30/2019 20:00,0,Syracuse Orange,Boston College Eagles,Syracuse Orange,0,77,11,11,6,1,23,7,16,52,29,11,26,15,8,19
58,1/30/2019 20:00,0,Louisville Cardinals,Wake Forest Demon Deacons,Louisville Cardinals,0,82,16,11,6,3,39,9,30,56,29,10,24,18,14,17
58,1/30/2019 20:00,0,Louisville Cardinals,Wake Forest Demon Deacons,Wake Forest Demon Deacons,1,54,3,11,6,2,32,15,17,68,18,2,20,19,16,16
59,2/2/2019 3:27,0,North Carolina Tar Heels,Louisville Cardinals,Louisville Cardinals,1,69,14,11,4,3,31,7,24,62,26,10,29,9,7,16
59,2/2/2019 3:27,0,North Carolina Tar Heels,Louisville Cardinals,North Carolina Tar Heels,0,79,16,10,7,3,47,16,31,69,29,6,24,19,15,15
60,2/2/2019 12:00,0,Virginia Tech Hokies,North Carolina State Wolfpack,North Carolina State Wolfpack,1,24,2,10,5,3,32,13,19,54,9,2,28,6,4,16
60,2/2/2019 12:00,0,Virginia Tech Hokies,North Carolina State Wolfpack,Virginia Tech Hokies,0,47,8,10,8,3,37,10,27,45,16,7,21,13,8,11
