,Mkt-RF,SMB,HML,RMW,CMA,RF
201905,-6.94,-1.58,-2.35,-0.47,1.76,0.21
201906,6.93,0.36,-0.72,0.91,-0.43,0.18
201907,1.19,-1.78,0.47,-0.07,0.37,0.19
201908,-2.58,-3.23,-4.77,0.55,-0.69,0.16
201909,1.43,0.27,6.74,1.84,3.36,0.18
201910,2.06,0.27,-1.92,0.44,-0.96,0.16
201911,3.87,0.45,-2,-1.6,-1.25,0.12
201912,2.77,0.97,1.77,0,1.23,0.14
202001,-0.11,-4.38,-6.23,-1.17,-2.32,0.13
202002,-8.13,0.04,-3.79,-1.47,-2.51,0.12
202003,-13.39,-8.3,-13.95,-1.52,1.26,0.13
202004,13.65,2.58,-1.26,2.71,-1.01,0
202005,5.58,1.97,-4.89,0.96,-3.25,0.01
202006,2.46,1.97,-2.17,0.09,0.53,0.01
202007,5.77,-3.2,-1.37,0.4,0.96,0.01
202008,7.63,-0.89,-2.96,4.26,-1.2,0.01
202009,-3.63,0.01,-2.68,-1.39,-1.89,0.01
202010,-2.1,4.64,4.22,-0.75,-0.76,0.01
202011,12.47,7.12,2.13,-2.2,1.37,0.01
202012,4.63,4.79,-1.5,-1.99,-0.11,0.01
202101,-0.03,6.92,2.97,-3.81,4.9,0.01
202102,2.78,4.53,7.17,0.31,-1.94,0
202103,3.08,-0.86,7.39,6.47,3.41,0
202104,4.93,-3.15,-0.95,2.49,-2.69,0
202105,0.29,1.23,7.09,2.53,3.01,0
202106,2.75,-0.34,-7.83,-2.18,-0.95,0
202107,1.27,-4.63,-1.78,5.5,-0.52,0
202108,2.91,-0.68,-0.15,-0.3,-1.79,0
202109,-4.37,1.13,5.09,-1.9,2.11,0
202110,6.65,-2.7,-0.49,1.69,-1.45,0
202111,-1.55,-1.77,-0.45,7.22,1.72,0
202112,3.1,-0.77,3.26,4.92,4.4,0.01
202201,-6.25,-4.04,12.75,0.87,7.74,0
202202,-2.29,2.94,3.08,-2.08,3.12,0
202203,3.05,-2.16,-1.8,-1.56,3.14,0.01
202204,-9.46,-0.41,6.17,3.63,5.89,0.01
202205,-0.34,-0.05,8.39,1.44,3.97,0.03
202206,-8.43,1.31,-5.98,1.86,-4.7,0.06
202207,9.57,1.86,-4.1,0.68,-6.92,0.08
202208,-3.77,1.49,0.3,-4.78,1.3,0.19
202209,-9.35,-0.97,0.06,-1.51,-0.84,0.19
202210,7.83,1.86,8.05,3.07,6.52,0.23
202211,4.6,-2.67,1.38,6.01,3.11,0.29
202212,-6.41,-0.16,1.32,0.09,4.19,0.33
202301,6.65,4.43,-4.08,-2.61,-4.52,0.35
